date,campaign_id,creative_id,impressions,clicks,conversions,spend,revenue,currency
2026-07-17,C009,K021,6977,85,2,4102.87,8660.25,INR
2026-07-22,C011,K026,2827,15,0,62.62,0.0,USD
2026-08-24,C005,K012,11905,169,5,7975.53,11037.38,INR
2026-08-20,C007,K017,5300,32,1,139.18,41.82,USD
2026-06-09,C002,K005,2409,108,6,134.3,556.06,USD
2026-07-30,C005,K012,15912,172,4,8920.66,13613.0,INR
2026-07-01,C007,K018,3577,25,1,103.47,48.47,USD
2026-07-01,C003,K007,11156,122,3,4817.76,12433.37,INR
2026-07-17,C002,K004,1822,70,3,77.01,328.85,USD
2026-07-16,C001,K001,1249,55,4,4997.77,10785.18,INR
2026-08-16,C006,K015,46960,269,0,76.22,0.0,USD
2026-08-23,C006,K015,34386,215,0,64.62,0.0,USD
2026-07-02,C001,K002,730,40,2,3765.44,10897.02,INR
2026-07-23,C001,K001,729,37,2,4177.0,14434.74,INR
2026-07-10,C001,K003,924,51,3,4533.42,17358.72,INR
2026-07-07,C012,K027,847,46,3,4759.36,4093.27,INR
2026-08-26,C010,K023,299,16,1,22.17,15.18,USD
2026-09-03,C005,K013,15217,189,3,7427.64,7958.36,INR
2026-07-10,C005,K014,12402,142,4,6855.59,6326.23,INR
2026-07-06,C008,K020,20600,149,1,4247.37,1319.45,INR
2026-08-04,C006,K015,32141,224,0,-14.9825,0.0,USD
2026-07-30,C002,K004,1635,71,4,79.37,221.41,USD
2026-07-15,C006,K016,27704,202,0,67.21,0.0,USD
2026-08-09,C008,K020,28653,149,0,4351.82,0.0,INR
2026-07-28,C005,K013,15780,174,4,6898.32,5443.9,INR
2026-08-20,C003,K007,9163,129,2,6583.37,18158.1,INR
2026-06-17,C013,K029,49005,287,2,88.31,98.31,USD
2026-07-03,C004,K009,13402,129,2,82.62,122.5,USD
2026-08-23,C002,K004,1841,87,5,104.06,309.49,USD
2026-08-17,C002,K004,1640,67,4,87.27,420.16,USD
2026-09-03,C001,K002,1125,41,2,3615.06,13431.95,INR
2026-06-17,C003,K008,7012,96,3,4084.07,8964.78,INR
2026-09-01,C001,K001,1195,55,3,5357.84,17831.18,INR
2026-08-06,C003,K007,9303,115,2,6235.2,9884.47,INR
2026-07-07,C002,K004,1289,57,2,74.25,393.03,USD
2026-07-11,C001,K001,1081,48,3,4167.06,16465.27,INR
2026-08-02,C002,K006,1832,102,5,136.4,457.66,USD
2026-06-28,C013,K030,62011,327,3,101.43,113.9,USD
2026-06-28,C001,K001,1196,47,2,4816.36,12818.48,INR
2026-08-19,C001,K003,1490,64,3,5530.75,19276.11,INR
2026-07-04,C006,K015,27749,165,0,54.93,0.0,USD
2026-06-28,C003,K008,10515,133,4,6230.8,13567.59,INR
2026-06-15,C012,K027,1313,49,3,4333.36,5030.37,INR
2026-08-14,C013,K030,41706,304,3,97.49,130.61,USD
2026-09-01,C001,K003,1188,58,3,5295.0,23615.13,INR
2026-07-29,C007,K018,5696,29,1,118.12,60.12,USD
2026-06-12,C002,K006,2353,123,5,126.76,629.82,USD
2026-07-05,C002,K004,1803,85,3,90.27,,USD
2026-07-08,C002,K004,1923,85,3,98.33,426.45,USD
2026-07-17,C008,K019,26863,157,1,3651.01,1219.04,INR
2026-07-21,C009,K021,8206,79,2,4123.22,5616.39,INR
2026-07-05,C005,K012,9422,133,4,7202.2,8863.28,INR
2026-07-11,C007,K018,2466,16,0,64.41,7.72,USD
2026-07-10,C011,K025,1762,11,0,52.78,0.0,USD
2026-07-09,C007,K017,4968,29,1,145.19,58.32,USD
2026-08-23,C008,K019,23865,165,0,3766.31,0.0,INR
2026-07-22,C006,K016,42514,304,0,86.71,0.0,USD
2026-08-03,C014,K031,7153,75,2,3586.2,5178.97,INR
2026-06-19,C013,K030,41778,262,3,91.09,83.69,USD
2026-06-26,C009,K021,7215,85,2,4130.35,5233.83,INR
2026-08-06,C007,K017,5582,30,1,144.8,89.82,USD
2026-07-31,C012,K028,832,41,2,4896.36,7841.28,INR
2026-09-01,C004,K009,16149,170,4,96.57,122.28,USD
2026-06-11,C008,K019,21673,111,0,3033.06,354.25,INR
2026-07-09,C005,K012,14209,208,4,8649.85,6954.57,INR
2026-07-27,C014,K032,7340,73,1,3547.16,5013.3,INR
2026-07-27,C002,K004,1418,67,3,87.07,451.54,USD
2026-07-24,C006,K015,28484,208,0,55.1,0.0,USD
2026-07-15,C008,K019,30910,163,1,3933.22,1055.0,INR
2026-08-06,C004,K009,9269,136,4,83.25,129.26,USD
2026-06-17,C011,K025,1866,13,0,64.55,0.0,USD
2026-08-06,C008,K019,22494,165,0,3937.58,0.0,INR
2026-07-27,C011,K026,2095,13,0,60.3,0.0,USD
2026-08-01,C007,K017,2960,18,0,74.26,7.46,USD
2026-06-25,C001,K002,631,31,1,3287.09,11657.3,INR
2026-08-03,C001,K002,739,37,2,4212.17,14589.26,INR
2026-08-06,C011,K025,2454,17,0,64.94,0.0,USD
2026-08-27,C013,K029,47795,256,3,75.27,82.98,USD
2026-08-31,C013,K030,48305,360,3,123.44,94.01,USD
2026-08-29,C002,K005,2787,124,5,143.86,346.69,USD
2026-07-25,C006,K015,28083,199,0,56.68,0.0,USD
2026-07-03,C007,K017,4683,29,1,132.8,41.32,USD
2026-07-25,C004,K011,18265,216,6,139.26,264.75,USD
2026-07-26,C002,K005,2792,138,5,151.43,500.1,USD
2026-08-14,C007,K017,5775,29,1,142.69,48.15,USD
2026-08-16,C014,K031,7148,91,2,3662.05,8123.74,INR
