date,currency,rate_to_usd
2026-06-08,INR,0.011927
2026-06-08,USD,1.0
2026-06-09,INR,0.011935
2026-06-09,USD,1.0
2026-06-10,INR,0.011952
2026-06-10,USD,1.0
2026-06-11,INR,0.011915
2026-06-11,USD,1.0
2026-06-12,INR,0.011907
2026-06-12,USD,1.0
2026-06-15,INR,0.011885
2026-06-15,USD,1.0
2026-06-16,INR,0.011881
2026-06-16,USD,1.0
2026-06-17,INR,0.011899
2026-06-17,USD,1.0
2026-06-18,INR,0.011939
2026-06-18,USD,1.0
2026-06-19,INR,0.011936
2026-06-19,USD,1.0
2026-06-22,INR,0.011907
2026-06-22,USD,1.0
2026-06-23,INR,0.011894
2026-06-23,USD,1.0
2026-06-24,INR,0.011922
2026-06-24,USD,1.0
2026-06-25,INR,0.011927
2026-06-25,USD,1.0
2026-06-26,INR,0.011927
2026-06-26,USD,1.0
2026-06-29,INR,0.011959
2026-06-29,USD,1.0
2026-06-30,INR,0.011932
2026-06-30,USD,1.0
2026-07-01,INR,0.011916
2026-07-01,USD,1.0
2026-07-02,INR,0.011897
2026-07-02,USD,1.0
2026-07-03,INR,0.01192
2026-07-03,USD,1.0
2026-07-06,INR,0.011834
2026-07-06,USD,1.0
2026-07-07,INR,0.011789
2026-07-07,USD,1.0
2026-07-08,INR,0.011795
2026-07-08,USD,1.0
2026-07-09,INR,0.011781
2026-07-09,USD,1.0
2026-07-10,INR,0.011864
2026-07-10,USD,1.0
2026-07-13,INR,0.011903
2026-07-13,USD,1.0
2026-07-14,INR,0.011954
2026-07-14,USD,1.0
2026-07-15,INR,0.011985
2026-07-15,USD,1.0
2026-07-16,INR,0.01198
2026-07-16,USD,1.0
2026-07-17,INR,0.011873
2026-07-17,USD,1.0
2026-07-20,INR,0.011918
2026-07-20,USD,1.0
2026-07-21,INR,0.01191
2026-07-21,USD,1.0
2026-07-22,INR,0.011924
2026-07-22,USD,1.0
2026-07-23,INR,0.011929
2026-07-23,USD,1.0
2026-07-24,INR,0.011963
2026-07-24,USD,1.0
2026-07-27,INR,0.011908
2026-07-27,USD,1.0
2026-07-28,INR,0.011916
2026-07-28,USD,1.0
2026-07-29,INR,0.011879
2026-07-29,USD,1.0
2026-07-30,INR,0.01187
2026-07-30,USD,1.0
2026-07-31,INR,0.011856
2026-07-31,USD,1.0
2026-08-03,INR,0.0118
2026-08-03,INR,0.0118
2026-08-03,USD,1.0
2026-08-04,INR,0.01177
2026-08-04,USD,1.0
2026-08-05,INR,0.011767
2026-08-05,USD,1.0
2026-08-06,INR,0.011821
2026-08-06,USD,1.0
2026-08-07,INR,0.011875
2026-08-07,USD,1.0
2026-08-10,INR,0.011863
2026-08-10,USD,1.0
2026-08-11,INR,0.011893
2026-08-11,USD,1.0
2026-08-12,INR,0.011903
2026-08-12,USD,1.0
2026-08-13,INR,0.011926
2026-08-13,USD,1.0
2026-08-14,INR,0.01195
2026-08-14,USD,1.0
2026-08-17,INR,0.012028
2026-08-17,USD,1.0
2026-08-18,INR,0.012012
2026-08-18,USD,1.0
2026-08-19,INR,0.012026
2026-08-19,USD,1.0
2026-08-20,INR,0.012085
2026-08-20,USD,1.0
2026-08-21,INR,0.012082
2026-08-21,USD,1.0
2026-08-24,INR,0.01209
2026-08-24,USD,1.0
2026-08-25,INR,0.012054
2026-08-25,USD,1.0
2026-08-26,INR,0.012016
2026-08-26,USD,1.0
2026-08-27,INR,0.012028
2026-08-27,USD,1.0
2026-08-28,INR,0.012018
2026-08-28,USD,1.0
2026-08-31,INR,0.012045
2026-08-31,USD,1.0
2026-09-01,INR,0.012049
2026-09-01,USD,1.0
2026-09-02,INR,0.012029
2026-09-02,USD,1.0
2026-09-03,INR,0.012031
2026-09-03,USD,1.0
2026-09-04,INR,0.011984
2026-09-04,USD,1.0
